NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_50	ENSG00000184292	19946	-0.005354535765945911	-0.89527565	No	
row_51	ENSG00000075790	20027	-0.005557678174227476	-0.89774835	No	
row_52	ENSG00000189221	20177	-0.00603622617200017	-0.903343	No	
row_53	ENSG00000124177	20218	-0.006169849541038275	-0.903802	No	
row_54	ENSG00000149591	20219	-0.00617603724822402	-0.902386	No	
row_55	ENSG00000143153	20229	-0.006225071381777525	-0.90138036	No	
row_56	ENSG00000122786	20259	-0.006317015737295151	-0.90129036	No	
row_57	ENSG00000117632	20334	-0.006542337592691183	-0.9032563	No	
row_58	ENSG00000092969	20363	-0.006656109821051359	-0.9030417	No	
row_59	ENSG00000123200	20372	-0.0067127179354429245	-0.9018774	No	
row_60	ENSG00000181264	20434	-0.0069628311321139336	-0.9031381	No	
row_61	ENSG00000092020	20491	-0.0071578905917704105	-0.90411985	No	
row_62	ENSG00000169213	20568	-0.007582094520330429	-0.90594107	No	
row_63	ENSG00000005108	20615	-0.007861868478357792	-0.9062931	No	
row_64	ENSG00000102547	20690	-0.008275182917714119	-0.90786177	Yes	
row_65	ENSG00000069849	20717	-0.008402583189308643	-0.9071531	Yes	
row_66	ENSG00000111907	20740	-0.008578605949878693	-0.90621674	Yes	
row_67	ENSG00000205542	20746	-0.008603074587881565	-0.90447855	Yes	
row_68	ENSG00000087053	20754	-0.008716454729437828	-0.902808	Yes	
row_69	ENSG00000182836	20860	-0.009600063785910606	-0.90552485	Yes	
row_70	ENSG00000107796	20960	-0.010640897788107395	-0.90772206	Yes	
row_71	ENSG00000111799	20989	-0.010999241843819618	-0.9065117	Yes	
row_72	ENSG00000146376	21005	-0.011155908927321434	-0.90465665	Yes	
row_73	ENSG00000041982	21021	-0.011379586532711983	-0.90275025	Yes	
row_74	ENSG00000164597	21047	-0.011841281317174435	-0.9012064	Yes	
row_75	ENSG00000115461	21121	-0.013433949090540409	-0.90154546	Yes	
row_76	ENSG00000100906	21127	-0.013538544066250324	-0.89867574	Yes	
row_77	ENSG00000138685	21144	-0.013863078318536282	-0.8962468	Yes	
row_78	ENSG00000168542	21181	-0.01507960818707943	-0.8944757	Yes	
row_79	ENSG00000138772	21200	-0.015806447714567184	-0.8916949	Yes	
row_80	ENSG00000066468	21210	-0.0161603894084692	-0.8884114	Yes	
row_81	ENSG00000168014	21216	-0.016340915113687515	-0.8848992	Yes	
row_82	ENSG00000137331	21222	-0.01669636182487011	-0.8813055	Yes	
row_83	ENSG00000020577	21271	-0.019324665889143944	-0.87912315	Yes	
row_84	ENSG00000143799	21317	-0.032478686422109604	-0.8737846	Yes	
row_85	ENSG00000189060	21328	-0.1028699055314064	-0.8506685	Yes	
row_86	ENSG00000072110	21341	-0.11705434322357178	-0.8243941	Yes	
row_87	ENSG00000168386	21362	-0.1439688503742218	-0.7923239	Yes	
row_88	ENSG00000133639	21368	-0.15330606698989868	-0.7574104	Yes	
row_89	ENSG00000241878	21378	-0.16901738941669464	-0.71908224	Yes	
row_90	ENSG00000198959	21385	-0.18568402528762817	-0.6767925	Yes	
row_91	ENSG00000169429	21392	-0.19967955350875854	-0.6312941	Yes	
row_92	ENSG00000105655	21411	-0.23682762682437897	-0.5778409	Yes	
row_93	ENSG00000227105	21420	-0.2738814055919647	-0.51542425	Yes	
row_94	ENSG00000155330	21421	-0.27564650774002075	-0.45222828	Yes	
row_95	ENSG00000101335	21433	-0.3167875409126282	-0.3801153	Yes	
row_96	ENSG00000120129	21436	-0.3363054692745209	-0.30310604	Yes	
row_97	ENSG00000091137	21437	-0.344745010137558	-0.2240682	Yes	
row_98	ENSG00000111328	21438	-0.36045780777931213	-0.14142798	Yes	
row_99	ENSG00000196154	21450	-0.6191242933273315	1.1527118E-7	Yes	
